name                                                                                                         ,brand                  ,price       ,image                                                                                                                                                                                                                                                                     ,link
Раковина подвесная Duravit Durastyle 231960 600х440 мм                                                       ,Duravit                ,21814.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/1/6/1613143_web2_prod_normal_2.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                  ,https://glavsnab.net/rakovina-duravit-durastyle-belaya-60sm-s-1otverstiyem-i-krepleniyem-2319600000.html

Раковина подвесная Лобненский Стройфарфор Водолей 57 570х490 мм                                              ,Лобненский Cтройфарфор ,1268        ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/f/i/fiting_16.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                   ,https://glavsnab.net/rakovina-podvesnaya-lobnenskiy-stroyfarfor-vodoley-57-570kh490-mm.html

Раковина подвесная Laufen Pro S 8.1096.2.000.104.1 550х465 мм                                                ,Laufen                 ,13093.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/p/p/pp01_810962_citypro_110_cgp_gcr_q_tf_ppt_a4.jpeg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                ,https://glavsnab.net/rakovina-podvesnaya-laufen-pro-s-8-1096-2-000-104-1-550h465-mm.html

Раковина подвесная Santek Бриз WH110460 550х455 мм                                                           ,Santek                 ,2030.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/s/a/santek_gallery_38_789616_3.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                  ,https://glavsnab.net/rakovina-santek-briz-wh110460.html

Раковина Aqwella 5 звезд Malaga Duet Mal.12.04.D 1220х450 мм                                                 ,Aqwella 5 звезд        ,19159.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/m/a/mal.12.04.d.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                 ,https://glavsnab.net/rakovina-aqwella-malaga-duet-mal-12-04-d-1220h450-mm.html

Раковина встраиваемая Cersanit Erica 80 S-UM-ERI80/1-w 795х499 мм                                            ,Cersanit               ,6290.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/f/i/file_979_20.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                                 ,https://glavsnab.net/rakovina-vstraivaemaya-cersanit-erica-80-s-um-eri80-1-w-795h499-mm.html

Умывальник подвесной УЮТ 50 смеситель с правой стороны белый Лобненский стройфарфор                          ,Лобненский Cтройфарфор ,1148        ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/5/1/51ff1836d0ab40ff642f33f87b450269.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                            ,https://glavsnab.net/umyvalnik-podvesnoy-uyut-50-smesitel-s-pravoy-storony-belyy-lobnenskiy-stroyfarfor.html

Умывальник с пьедесталом Версия 56 белый Santeri 1.3111.5.S00.11B.0/1.3601.2.S01.00B.0                       ,Santeri                ,2906.0000   ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/2/d/2d1395267d2e288083ff31920985e258.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                            ,https://glavsnab.net/umyvalnik-s-pedestalom-versiya-56-belyy-santeri-1-3111-5-s00-11b-0.html

Раковина Aqwella 5 звезд Бергамо Ber.08.04.D 800х500 мм                                                      ,Aqwella 5 звезд        ,21769.0000  ,https://glavsnab.net/media/catalog/product/cache/1/small_image/154x/602f0fa2c1f0d1ba5e241f914e856ff9/b/e/bergamo_1000_1.jpg?kar=1&kf=1&kt=1&co=1&rgb%5B0%5D=255&rgb%5B1%5D=255&rgb%5B2%5D=255&ang=ang&qua=90                                                              ,https://glavsnab.net/rakovina-aqwella-bergamo-ber-08-04-d-800h500-mm.html

